itemname,contents
치킨스테이크 채소구이 샐러드 세트 ,전체적으로 좋았는데.. 흑임자로 만든? 떡? 그건 좀 제 입맛에 안 맞았어요 ㅎㅎㅎ 다른 분들은 맛있게 드셨는지 모르겠네요~
모둠버섯 치킨 샐러드,내용물들이 다양하면서도 실해서 고소하고 맛나게 먹었어요~ 라이트식단 정기배송으로 주문할 생각이예요^^~
지중해식 토마토닭볶음 세트 ,"렌지에 안전한 포장재 개발하면 더욱 환영 합니다
렌지에 안전한 포장재 개발하면 더욱 환영 합니다"
불낙볶음 세트 ,"렌지에 안전한 포장재 개발하면 더욱 환영 합니다
렌지에 안전한 포장재 개발하면 더욱 환영 합니다"
돼지고기 마늘종 덮밥소스 세트 ,"렌지에 안전한 포장재 개발하면 더욱 환영 합니다
렌지에 안전한 포장재 개발하면 더욱 환영 합니다"
주꾸미 제육볶음 한상 세트 ,"렌지에 안전한 포장재 개발하면 더욱 환영 합니다
렌지에 안전한 포장재 개발하면 더욱 환영 합니다"
강황 닭갈비 세트 ,"렌지에 안전한 포장재 개발하면 더욱 환영 합니다
렌지에 안전한 포장재 개발하면 더욱 환영 합니다"
당귀 주꾸미볶음 세트,"렌지에 안전한 포장재 개발하면 더욱 환영 합니다
렌지에 안전한 포장재 개발하면 더욱 환영 합니다"
오징어 참나물볶음 세트 ,"렌지에 안전한 포장재 개발하면 더욱 환영 합니다
렌지에 안전한 포장재 개발하면 더욱 환영 합니다"
미나리 오징어 돼지불고기 세트 ,"렌지에 안전한 포장재 개발하면 더욱 환영 합니다
렌지에 안전한 포장재 개발하면 더욱 환영 합니다"
돼지고기 톳볶음 세트 ,"렌지에 안전한 포장재 개발하면 더욱 환영 합니다
렌지에 안전한 포장재 개발하면 더욱 환영 합니다"
[1Table] 한우 육개장,식품인 만큼 배송망 확장해서 빨리 배달 가능하게 해주세요
[1Table] 한우 육개장,식품인 만큼 배송망 확장해서 빨리 배달 가능하게 해주세요
[1Table] 한우 쇠고기 미역국,식품인 만큼 배송망 확장해서 빨리 배달 가능하게 해주세요
[1Table] 한우 쇠고기 미역국,식품인 만큼 배송망 확장해서 빨리 배달 가능하게 해주세요
뿌리채소 한우사태찜,식품인 만큼 배송망 확장해서 빨리 배달 가능하게 해주세요
소고기 숙주 부추볶음,식품인 만큼 배송망 확장해서 빨리 배달 가능하게 해주세요
커리 치킨 샐러드,제목처럼 살찔거 같은 맛이나 약 500kcal에 특이한 약간 진득한 특이한 색깔에 커리에 탄두리치킨? 아주 맛있게 먹었어요^^~
모짜렐라 루꼴라 샐러드,신선하고 라이트한 맛이예요^^~ 표시된 유통기한 1.5일 지나고 먹었는데도 신선했어요~ 
유근피 닭다리백숙 (1인분),"오늘 아침 배송 받고 5분만에 뚝딱 끓여서 준비했습니다. 국물내고 닭 삶는 시간이 단 5분이라니! 너무 좋네요!
게다가 닭다리도 보등보들하고 국물도 맛나요!"
[1Table] 한우 나주곰탕,식품인 만큼 배송망 확장해서 빨리 배달 가능하게 해주세요
[1Table] 한우 나주곰탕,식품인 만큼 배송망 확장해서 빨리 배달 가능하게 해주세요
닭다리살구이,식품인 만큼 배송망 확장해서 빨리 배달 가능하게 해주세요
낙지 무채무침 ,식품인 만큼 배송망 확장해서 빨리 배달 가능하게 해주세요
춘천식 고추장 닭구이 ,식품인 만큼 배송망 확장해서 빨리 배달 가능하게 해주세요
닭다리살구이,양도 2인분 정도 되는 것 같고 양념도 맛있게 잘 배고 괜찮았습니다^^ 
들깨 시래기나물,"질척거리지 않고 깔끔하고 깨끗한 맛이 좋아요~
도시락도 개발해 보시는건 어떨런지요! 집에서 간단하게 먹을 수 있는 어른용, 어린이용 도시락 있으면 요즘 같이 집에 같이 있는 어른과 학생 같이 먹어보면 좋을 듯요."
[vezzly] 비건식빵,"배송은 무난한 정도, 빵도 작지만 괜찮은 편이에요.
이 빵만 몇번 주문했던 듯"
제주고사리 고추잡채&꽃빵 ,"고추잡채 자체는 나쁘지 않았는데, 꽃빵은 전자렌지에 함께 돌리니 너무 질기고 딱딱했어요...
간편하게 먹으려고 그리팅 구매하는건데 그렇다고 찜기에 찔수도 없고 개선이 필요해 보입니다. "
리코타 허브감자 샐러드,"재구매할거예요 행사 자주허면 좋겠네요 
청포도 신선하고 감자 맛있어요 리코타 치즈 양도 많습니다~~ "
연자육 닭살 콥샐러드 세트 ,"위생관리  신경써서 해주시기바랍니다
병원에서 소개한곳이니 깨끗하리라 믿고 먹겠습니다"
문어 사과 카르파쵸 샐러드,"위생관리  신경써서 해주시기바랍니다
병원에서 소개한곳이니 깨끗하리라 믿고 먹겠습니다"
포두부 쉬림프 샐러드 세트,"위생관리  신경써서 해주시기바랍니다
병원에서 소개한곳이니 깨끗하리라 믿고 먹겠습니다"
고사리 소불고기 숙쌈 세트,"오징어는 거의 없었지만 오징어 제육이 맛있었어요. 
야채도 맛있었어요.
샐러드보다 더 나요."
율무&구운가지 샐러드 세트 ,"알찬구성은 좋았지만 신선도 부분이 
약간 아쉽네요~


"
닭안심 미나리페스토구이  샐러드 세트 ,"알찬구성은 좋았지만 신선도 부분이 
약간 아쉽네요~


"
포크 아라비아따 샐러드 세트 ,"알찬구성은 좋았지만 신선도 부분이 
약간 아쉽네요~


"
단호박 오리로스구이 세트 ,"보통입니다 괜찮습니다 
적당히 맛있습니다 
양은 적어요"
인도식 견과 커리 세트,"맛있습니다 괜찮습니다 추천합니다 
카레가 맛있습니다 
추천합니다 "
소고기 죽순 생강볶음 세트,"양은 좀 적지만 괜찮습니다
맛있습니다 추천합니다 
괜찮습니다 "
태국식 소고기 공심채 세트 ,"이번 도시락은 남편이랑 같이 먹게돼서
집에있는 밑반찬 몇개만 더 꺼내고 국끓여서 먹으니
둘이서도 충분히 먹네요^^
특히 태국식 소고기 넘 맛있어요."
[1Table] 갈비 낙지 볶음밥,"맛도 훌륭하고 구성도 좋네요.
식사 준비 번거로울 때 간단히 먹기 좋아요.
자주 이용할게요."
[1Table] 갈비 낙지 볶음밥,"맛도 훌륭하고 구성도 좋네요.
식사 준비 번거로울 때 간단히 먹기 좋아요.
자주 이용할게요."
옐로우아이빈 팥죽 (1인분),"작년에 수술하시고 회복중이신데, 입맛 까다로우신 저희 엄마도 부담없이 드실 수 있는 음식이에요.
간이 살짝 짜다고 하셨는데, 워낙 저희가 간 없이 먹는 타입이라 더 그렇게 느끼셨을 수도 있어요. 
톡톡하고 되직해서 맛있다고 하시고, 양도 너무 많지 않아 한끼 드시기에 딱 좋다고 하셨어요.
자주 시키게 될 것 같아요!"
[1Table] 한우 육개장,"일단 간이 딱 맞고, 고기를 포함한 건더기 양이 풍부합니다. 고기 품질도 좋다고 저희 엄마가 이건 또 주문자고 하시네요. 미역국도 빨리 먹어봐야겟어요 주문 성공입니다  ㅎㅎ  "
[1Table] 한우 육개장,"일단 간이 딱 맞고, 고기를 포함한 건더기 양이 풍부합니다. 고기 품질도 좋다고 저희 엄마가 이건 또 주문자고 하시네요. 미역국도 빨리 먹어봐야겟어요 주문 성공입니다  ㅎㅎ  "
[1Table] 한우 육개장,"냉동실 고사리,대파삶아놓은거,콩나물, 마늘 청량고추
추가해서 3인이 맛나게 먹었네요.
더운날 국끓이기 힘든데 자주 애용할거같아요~^^"
[1Table] 한우 육개장,"냉동실 고사리,대파삶아놓은거,콩나물, 마늘 청량고추
추가해서 3인이 맛나게 먹었네요.
더운날 국끓이기 힘든데 자주 애용할거같아요~^^"
[1Table] 장조림 버터 볶음밥,"저는 살짝 짜게느껴졌고
신랑은 괜찮다네요
전체적으로 퀄리티는 괜찮아요"
[1Table] 장조림 버터 볶음밥,"저는 살짝 짜게느껴졌고
신랑은 괜찮다네요
전체적으로 퀄리티는 괜찮아요"
고추잡채 덮밥 소스 세트 ,혼자먹긴 좀 많고 둘이 한끼 배불리 먹을정도 분량이예요. 반찬 따로따로 이것저것 준비안해도 되서 좋아요.
볶음 쟁반 자장면,"주말에 신랑이랑 그리팅으로 끼니해결했습니다!.!
자장 면도 일반 밀가루 면이랑 다르게 색다르고,
해물도 들어가서 알차네욤 ㅎ

일반 자장소스랑은 확연히 차이가 나네요
건강하게 잘 먹었습니당 ㅎ 또 시켜 먹을거에욤"
화이트 라구소스 리가토니,"그리팅 신메뉴는 항상 챙겨서 제일 먼저 주문하는 편이에요~ 시식평가단도 아니고 ㅎㅎ 상받아야함~^^ 

고기도 많이 들어가고 크림소스가 진해서 저는 너무 맛있게 잘먹었습니다. 사실 아이들 주려고 산건데 이것도 그냥 내꺼 ~♥"
[1Table] 냉이 된장찌개,냉이를 별로 좋아하지 않는데도 맛있게 잘먹었어요. 재구매해서 먹으려 합니다.
[1Table] 냉이 된장찌개,냉이를 별로 좋아하지 않는데도 맛있게 잘먹었어요. 재구매해서 먹으려 합니다.
모짜렐라 루꼴라 샐러드,"야채가 이렇게 고소한맛이 날까요? 

그리팅 샐러드는 먹다보면 다른 샐러드 못먹어요~ 
양상추에 익숙했던 입맛을 고~급지게 업그레이드 해준 
그리팅 넘넘 좋아요~ 

발사믹크림소스랑 도 너무 잘 어울립니다. 
출구없는그리팅 ~~ 샐러드는 진짜 그리팅이지~!!"
흑마늘 황기 찜닭 (2~3인분),"초록마을에 파는 유가농 쌀떡 엄청나게 쫄깃한 그떡을 8개 정도만 넣으면 국물이 쫄아들지 않게 적당하게 조리가능한 정도에요 ~~ 너무 맛있음 ~^^ 
근데 개인적으로 퍽퍽한 닭가슴살 대신 닭다리살 조각을 넣어주시면 더 맛있을꺼같아요 ㅎㅎ

그리팅은 주말 아침을 풍성하게 챙겨주는 친구에요~ 
그리팅 흑마늘 황기찜닭 대박나세요~♥"
흑마늘 황기 찜닭 (2~3인분),"팬에 졸이듯 끓였더니 양념이 쏙 배어 정말 맛있습니다.
큼직한 닭다리가 4개나 들어있고 순살로된 닭살들, 채소들이 다양하게 들어있어 좋았어요.
양념이 너무 맛있어서 밥도 볶았다는...ㅋㅋ
당면 추가 강추합니다! ㅎ 
"
볶음 쟁반 자장면,해물이 탱글탱글 살아 있어요.면도 쫄깃하고 건강한 맛있는 맛이네요. 또 구매해야 겠네요.
닭살두부 마라볶음 세트 ,흠...마라 맛이 이런 맛이군요..소불고기는 양념에 그냥 스쳐지나간것처럼 밍밍해요.  나물은 맛있네요.
나물 비빔 세트,혼자먹기엔 반찬이 좀많아서 둘이 나물비빔밥 해먹었네요. 완전 맛있게 먹었어요! 이번엔 국만 끓여서 같이 먹었는데 다음번엔 계란후라이도 추가해서 먹음 좋을듯하네요!!
구운버섯 아보카도 샐러드 세트 ,아보카도가 곁들여진 신선한 야채가 맛있어요! 주말에 집에서 기름진 음식 먹을때 같이하면 좋아요
비트 생깻잎지,"맛있고신선해요
비트가들어가 건강한맛이네요
가끔깻잎먹고싶을때 딱이예요"
비트 무화과 타히니 샐러드,"정말 건강해지는느낌이네요
맛있어요
평소못먹던거 이것저것먹어？네요"
사천식 애호박찜 세트 ,"저당 식단이라서 뭔가 심심할 줄 알았는데, 생각보다는 간이 세네요.
자극적인 정도는 아니지만 일반 음식점 수준이에요"
시래기 돼지고기찜 세트 ,양은 많아요.  역시 간이 맹숭맹숭 밥 반찬으론 부적절하네요.
소고기 죽순 생강볶음 세트,건강식이라 그런가 간이 너무 심심..덜 건강하더라도 맛있게 먹고 싶어요.
고추잡채 덮밥 소스 세트 ,"먹을때마다 맛있어서 감탄해요
원재료도 믿을 수있고 건강해지는 느낌 들어요"
검은콩 캐슈넛 닭볶음 세트,"먹을때마다 맛있어서 감탄해요
원재료도 믿을 수있고 건강해지는 느낌 들어요"
아스파라거스 돼지불고기 세트,"먹을때마다 맛있어서 감탄해요
원재료도 믿을 수있고 건강해지는 느낌 들어요"
[vezzly] 방콕 세트,대체로 부드럽고 쫀득해서 맛있어요! 주문할 때 비건식빵은 맛이 없다는 후기를 봐서 조금 망설였던 기억이 있는데 그것도 건포도 맛이 좀 나는 정도고 나쁘지 않았습니다
모둠버섯 소불고기 쌈 세트,"산후조리중이고 이모님도 가시고 혼자 있어 밥챙겨 먹기 힘들었는데 그리팅 알게 되어서 너무 좋아요
먹을때마다 기대되어요
고급 기내식 먹는 느낌이에요"
토마토 견과 카레 소스 세트 ,"산후조리중이고 이모님도 가시고 혼자 있어 밥챙겨 먹기 힘들었는데 그리팅 알게 되어서 너무 좋아요
먹을때마다 기대되어요
고급 기내식 먹는 느낌이에요"
해산물 토마토 볶음 세트,"산후조리중이고 이모님도 가시고 혼자 있어 밥챙겨 먹기 힘들었는데 그리팅 알게 되어서 너무 좋아요
먹을때마다 기대되어요
고급 기내식 먹는 느낌이에요"
[오가닉스토리] 유기농 발아블랙선식 500g,"두유에 세숟가락정도 넣어서 먹으니
꼬소한맛에 술술넘어가네요
발아된거라 더건강한 맛인거같아
기분좋게 잘 먹어요ㅎ"
[오가닉스토리] 유기농 발아블랙선식 500g,"두유에 세숟가락정도 넣어서 먹으니
꼬소한맛에 술술넘어가네요
발아된거라 더건강한 맛인거같아
기분좋게 잘 먹어요ㅎ"
[오가닉스토리] 유기농 발아블랙선식 500g,"두유에 세숟가락정도 넣어서 먹으니
꼬소한맛에 술술넘어가네요
발아된거라 더건강한 맛인거같아
기분좋게 잘 먹어요ㅎ"
돼지고기 톳볶음 세트 ,"건강하게 맛있게 잘먹었어요
다먹고나서 기분좋은맛이네요
쫄깃한 돼지고기와 톳의식감이 넘 잘어울리는맛
이구 다른사이드메뉴하나 하나 알차고 맛있었어요
강추합니다ㅎ"
소고기 숙주 부추볶음,"소고기 질이 좋은것 같아요. 숙주는 약간 덜익은듯 한데, 먹을만합니다.
그런데 땅콩소스가 배송에서 빠진것 같은데요... 전체적으로 짜지않고 맛은 괜찮습니다.."
[vezzly] 통밀 7곡 식빵 ,통밀이 아주 듬뿍 묻어있네요 얼른 먹어봐야겠어요!! 잘먹겠습니당
[1Table] 우미학 차돌 깍두기 볶음밥,아직 맛은 안？는데 1테이블꺼 전부 맛있어서 왠지 맛있을거같아요
[1Table] 우미학 차돌 깍두기 볶음밥,아직 맛은 안？는데 1테이블꺼 전부 맛있어서 왠지 맛있을거같아요
리코타 허브감자 샐러드,맛은 있는데 리코타치즈가 조금 아쉽네요 완전 꾸덕한느낌일줄알았는데.. 그래도 맛은 있었어요~~
스파이시 쉬림프 샐러드,새우도 적당히 들어있고 드레싱이 맛있네요!! 다음에 또시킬듯!!
나물 비빔 세트,"아주 골고루
잘들어있네요
그리팅 매력에 
점점 빠져갑니다!
달걀후라이 해서 올렸더니
완벽ㅎ"
율무&구운가지 샐러드 세트 ,"구운가지랑 동글동글율무를 집어먹는 재미가
쏠쏠한ㅋ 샐러드를 이렇게 다양하게 맛있게 먹을수
있어서 정말 감사해요？？ 
이제라도 알게되서 다행이라는ㅎ"
나물 4종 샘플러,"쌈장도 들어있고 맛이 괜찮습니다..
약간 조미료 맛이 나는듯한데,
이정도면 먹을만합니다.."
[1Table] 갈비 낙지 볶음밥,1테이블 매니아로서 넘 맛있어요~~!! 잘먹었어요!! 또시킬게용
[1Table] 갈비 낙지 볶음밥,1테이블 매니아로서 넘 맛있어요~~!! 잘먹었어요!! 또시킬게용
[볼제너뮬러] 유기농 콘플레이크 250g,얼른 먹어보고 싶어요 아직 우유를 안사서 요플레에 타먹어야겠어요
[볼제너뮬러] 유기농 콘플레이크 250g,얼른 먹어보고 싶어요 아직 우유를 안사서 요플레에 타먹어야겠어요
[볼제너뮬러] 유기농 콘플레이크 250g,얼른 먹어보고 싶어요 아직 우유를 안사서 요플레에 타먹어야겠어요
[1Table] 담양 죽순밥,1테이블 매니아로서 넘 맛있어요~~!! 잘먹었어요!! 또시킬게용
[1Table] 담양 죽순밥,1테이블 매니아로서 넘 맛있어요~~!! 잘먹었어요!! 또시킬게용
[1Table] 한우 잡채볶음밥,1테이블 매니아로서 넘 맛있어요~~!! 잘먹었어요!! 또시킬게용
[1Table] 한우 잡채볶음밥,1테이블 매니아로서 넘 맛있어요~~!! 잘먹었어요!! 또시킬게용
[vezzly] 에쉬레버터 샤브레 쿠키 (3입),가격대비에 좀 비싸네요.. 궁금해서 먹어？는데 엄청 특별하게 느껴지진 않았어요 
제주고사리 고추잡채&꽃빵 ,맛있어요.. 꽃빵이 양이 좀 적은듯해요.. 1개만 더 주면 좋을것 같은데요...
입에서 녹는 동파육,설명대로 부드러워요. 그래도 한입크기로 먹기 좋게 잘랐어요. 간이 적당하고 고기에 잘 베어있어요. 팔각항이 많이나고 청경채는 질겨졌네요.
리코타&보리순커리,인도 커리집에서 먹는 것처럼 괜찮았어요. 둘이 먹어도 넉넉했습니다.
소고기 숙주 부추볶음,요리한 걸 바로 먹는 느낌이었어요. 배송도 집 앞으로 해 주니 편했고요 참 괜찮네요
볶음 쟁반 자장면,생각보다 냉동임에도 퀄리티가 좋아서 놀랐네요. 가격이 비싸다 생각했는데 아깝지 않았어요
[1Table] 갈비 낙지 볶음밥,매운걸 잘 못먹는데 청양고추 들어간걸 못봤네요. 갈비라그런지 달달해요.
[1Table] 갈비 낙지 볶음밥,매운걸 잘 못먹는데 청양고추 들어간걸 못봤네요. 갈비라그런지 달달해요.
제주고사리 고추잡채&꽃빵 ,제가 싱겁게 먹어서 좀 짜게 느껴졌어요. 고사리가 약간 질기네요.
머쉬룸 리조토 세트 ,"맛있어요~~~
그리팅 매주주문해먹어요

뷰키식단 굿굿굿
다이어트에 최고입니다 번창하세요"
[아이엠얼라이브] 유기농 콤부차 오리지널 315ml ,"콤부차는 처음인데 전말 맛있네요
당이적어서 입이 달지도않아요
재주눈의사있습니다 강추입니다"
[아이엠얼라이브] 유기농 콤부차 오리지널 315ml ,"콤부차는 처음인데 전말 맛있네요
당이적어서 입이 달지도않아요
재주눈의사있습니다 강추입니다"
[아이엠얼라이브] 유기농 콤부차 오리지널 315ml ,"콤부차는 처음인데 전말 맛있네요
당이적어서 입이 달지도않아요
재주눈의사있습니다 강추입니다"
[아이엠얼라이브] 유기농 콤부차 오리지널 315ml ,"콤부차는 처음인데 전말 맛있네요
당이적어서 입이 달지도않아요
재주눈의사있습니다 강추입니다"
미역&조갯살 스프 (1인분),"우선 초딩입맛에겐 미역, 바다냄새가 너무 강해요ㅠ. 바다향 좋아하는 분들에게만 추천합니다. "
노루궁뎅이버섯 스프 (1인분),짭쪼롬하고 구수?한 익숙한 스프맛입니다. 빵이랑 같이 먹으면 맛있어요ㅎ
[1Table] 한우 잡채볶음밥,인기메뉴라고 추천있길래  믿고 담아 봅니다 맛이 기대됩니다
[1Table] 한우 잡채볶음밥,인기메뉴라고 추천있길래  믿고 담아 봅니다 맛이 기대됩니다
[1Table] 담양 죽순밥,죽순의 식감이 아삭하니 좋아서 또 장바구니에 담았습니다
[1Table] 담양 죽순밥,죽순의 식감이 아삭하니 좋아서 또 장바구니에 담았습니다
[1Table] 갈비 낙지 볶음밥,시간없을때 간단히 먹으려고 구매하였어요 맛이 기대됩니다
[1Table] 갈비 낙지 볶음밥,시간없을때 간단히 먹으려고 구매하였어요 맛이 기대됩니다
리코타 허브감자 샐러드,재료가 싱싱한 건 알겠는데...가격 대비 맛이나 양 둘 다 만족스럽제 못하네요.
곰취된장찜 ,엄마한테 그리팅 반찬 여러가지 보내드렸는데... 곰취된장찜이 가장 맛있대요. 약간 짠게 흠~
소고기 숙주 부추볶음,대식가인 남편이 한 끼에 먹을 만큼 양도 많고 맛도 좋아요~
[vezzly] 좋은아침 모닝롤 (6입),"그리팅 1주일에 한번씩 주문해서
매주 먹고있는데 정말 맛있어요
청결하고 뷰티식단도 아주만족입니다
번창하세요"
매콤 꾸지뽕 닭살볶음 세트 ,닭살볶음은 별로이고 브로꼴리는 향이 너무나서 버렸어요.그나마 오징어 장조림은 괜찮았어요.
늙은 호박죽 (1인분),늘은호박으로 푹 끓여낸 호박죽이지만 양이 적어서 아쉬웠어요
옐로우아이빈 팥죽 (1인분),옐로우아이빈 팥죽 견과 콩이 고소하게 씹히고 맛있지만 양이 아쉽
토마토 견과 카레소스,극찬 후기가 많고 토마토 음식을 좋아해서 매우 기대중입니다ㅎㅎ 밥도둑일듯해요
슈퍼곡물 구운채소 샐러드 세트 ,탄두리랑 참치는 넘 맛났는데 이건 넘 맛없어서 억지로 겨우 먹었어요 재구매 의사없어요
스파이시 참치 케이퍼 샐러드 세트 ,담백하면서도 맛나서 좋았어요 흔한 참치지만 흔하지않은 맛있는 맛이랄까 재구매의사 있어요
과카몰리 씨푸드 샐러드 ,기대가 너무 컸나봐요 씨푸드는 이맛도 저맛도 아닌듯한...재구매의사는 없어요
탄두리 후무스 샐러드 세트 ,"비트도 특이하면서 맛있구 맛난한끼였어요
맛없거나 넘 독특하면 어쩌나 걱정했는데 기우였네요 ㅎㅎ"
[7월] 패밀리 패키지,"감사합니다 맛있게 잘먹을게요~~~
하루만에 배송되서 좋았습니다"
스페인 세비체 샐러드 세트,"레몬과 선드라이토마토, 드레싱, 해산물이 잘 어우러져서 강렬한 스페인 햇살 아래 있는 착각이 들 정도였습니다. 샐러드 맛이 강해서 옆의 사이드메뉴들과 같이 먹으면 어느정도 조화롭고 든든한 한끼 식사가 됩니다. "
율무&구운가지 샐러드 세트 ,정기배송 메뉴 중 가장 채식채식한 메뉴. 맛으로 보면 다른 샐러드들이 더 맛있어요..
닭안심 미나리페스토구이  샐러드 세트 ,"맛있어요~미나리 향은 거의 안나요! 닭가슴살이 아니라서 안퍽퍽해서 좋아요. 드레싱이 맛있습니다!
한가지 아쉬운 점은, 크림소스로 무친 브로컬리 사이드메뉴는 간이 안되어있고 느끼한 느낌만 나서 별로였습니다."
포크 아라비아따 샐러드 세트 ,"돼지고기가 들어가는 샐러드라는 소리에 굉장히 느끼하고 텁텁한 느낌을 지울 수가 없었는데, 막상 먹어보니 굉장히 산뜻했습니다~ 아라비아타소스의 매콤한 맛과 돼지 특유의 감칠맛이 잘어울려서 든든한 한끼 식사가 되었어요 "
순수 어묵볶음 ,별모양 어묵이라 뚜껑 열었을 때 부터 눈에 확들어 오네요.브로콜리도 좋고 맛있게 잘 먹었습니다
닭살두부 마라볶음 세트 ,마라향도 제대로 안나고 이도 저도 아닌 맛이라 아쉬웠어요 그래도 같이 들어있는 반찬 종류는 만족스러웠어요
인도식 견과 커리 세트,"커리가 간이 센편인데 밥과 반찬 같이 먹으니 딱 맞네요
커리향이 좋았습니다."
리코타 허브감자 샐러드,리코타치즈가 넉넉하게 들어있어서 맛있게 잘 먹었습니다. 감자도 들어있어서 든든하네요
머쉬룸 리조토 세트 ,다른건 밥 반찬 같은 느낌이라 밥이 없는데 밥이 같이나와서 먹기 편하고 든든하니 좋습니다.
과카몰리 씨푸드 샐러드 ,저렴한 가격에 이벤트로 첫 그리팅에 대한 이미지가 좋아진 음식입니다. 자주 이용할것같아요.
스페인 세비체 샐러드 세트,해물의 내용물이 좀 적다는 생각이 들었지만 신선한 채소가 맛있고 단호박과 메추리알이 든든함을 더해줍니다.
여주 소불고기 세트,지역명이라고만 생각했는데 먹는 여주일줄은.... 소불고기와의 조합이 좋았습니다. 조금 짜긴했지만 맛있습니다.
제주고사리 햄프씨드볶음 ,"고사리가 너무 부드럽네요. 억센게 없어 좋아요
맛있게 잘 먹었습니다."
단호박 오리로스구이 세트 ,간이 좀 싱거운 편이라 같이 들어있는 장아찌와 같이 먹으니 괜찮네요 오리고기에 돼지고기까지 들어있어서 단백질 섭취 제대로 했네요
닭안심 미나리페스토구이  샐러드 세트 ,누구나 다 아는 다이어트를 하는 사람이라면 한번쯤 먹어봤을법한 샐러드입니다. 무난해서 좋아요.
미나리 오징어 돼지불고기 세트 ,오징어는 적게들어가있지만 미나리와 돼지만으로도 충분히 맛있는 식사입니다. 밥이 안들어잇어서 햇반하나같이먹었는데 남기지않고 다먹자니 양이 너무 많네요
[vezzly] 올리브 식빵,아침에 배송을 받았는데 빵이 박스안에 잘 포장되어 왔습니다. 맛도 건강한 느낌이라 기분이 좋네요
제주고사리 고추잡채&꽃빵 ,맛은 있는데 꽃빵은 왜 딱딱한거죠..??차라리 안들어 있는게 더 나을듯 합니다
[vezzly] 미미 카스테라,"애들도？어른도 좋아해요


건강하고 맛나는 빵

양은 적지만 맛있어요"
비트 무화과 타히니 샐러드,"좋은 야채 듬뿍
건강한 맛

집에선 귀찮아서 골고루 못 먹는데

정말 좋아요"
흑미 시트러스 샐러드,"
브런치로
한끼식사로

좋아요

신선 ？맛 ？배송ㆍ포장

좋아요"
[vezzly] 까사테라,"베이커리 맛집이에요

고급지고 맛있어요

양보다 건강？

골고루 먹어요"
멕시칸 타코 샐러드 ,"그리팅은 샐러드 맛집이에요

집에서 브런치로 즐기기좋아요

늘 신선하고 좋아요"
율무 단호박 샐러드,"샐러드가 늘 신선하고
소스도 맛있어요

배송？포장 
다 좋아요

"
멸치 아몬드볶음,"멸치 ？아몬드

건강한 반찬이죠

뼈와 피부건강에 좋아요"
모둠 해초볶음,"요건제가 별로 좋아하지
않는 메뉴여서

한번 으로끝

맛이 없진 않아요
원래 안좋아 하는 음식？"
비트 생깻잎지,"요거 밥 도둑이네요

김이랑 같이 먹으면 밥이 순삭 ？

또 먹고 싶네요"
흑미 시트러스 샐러드,"흑미 ？야채 ？소스

한끼 밥이에요

맛있어서 먹고 나면 식욕이 나요

그래도 건강한 맛이에요"
리코타 허브감자 샐러드,"요것도 재구매

이집 샐러드 맛집이에요

신선하고 소스도 좋고"
[vezzly] 쌀조청 롤케이크,"쌀로 만든 롤 케익

밀가루가 아니지만  입맛 까다로운 
애도 잘  먹어요

요것도 성공 했네요"
미나리 주꾸미볶음 ,"매콤해서 맛있어요
밥 비벼 먹고 싶은？

아이도 잘 먹어요"
닭다리살구이,"닭다리라 고단백

대추랑 마늘이 건강한 맛

보양식으로 좋을듯 하네요
"
비트 무화과 타히니 샐러드,"요거 맛나서 재구매했어요
칼로리도 적고 맛있어요

그리팅 맛있어요？"
흑미 시트러스 샐러드,솔직히 흑미가 있어서 주문을 망설였는데 대박이었습니다. 고소하고 포만감도 있고 정말 주문하길 잘했습니다.
율무 단호박 샐러드,재구매 의사 충분히 있습니다.강추합니다 그리고 다시 구매할때는 양을 충분히 주문해야겠습니다. 아쉬운  주문이었습니다
스파이시 쉬림프 샐러드,넘 좋아오ㅡ.  양도 충분하고 맛도 있고 영양소도 골고루
건강한 자장소스 세트,"자장소스가 생각보다 맛있었어요!
샐러드도 같이 먹을수 있어서 평소에 야채를 잘 안챙겨먹는데
골고루 섭취할수 있어서 좋네요.
식단 구성이 너무 좋아요~
"
태국식 소고기 공심채 세트 ,평소에 늘 소화가 안되어서 시켜봤는데 자극적이지도 않고 건강한 맛이네요 . 구성도 알차고 맛도 좋아요! 만족합니다^^
구운채소 곡물 샐러드,"여러 종류의 야채와 견과류를  깨끗히 조리하여 맛있게 먹으니 감동이예요. 누가 나를 위해 이렇게 정성 들여 조리해줄까 생각해보니 아무도 없어요. 오직 그링팅만이예요 !!
"
멕시칸 타코 샐러드 세트,건강한 식재료가 신선해서 맛있어요. 과일이나 견과류 추가해서 먹으니 건강이 배가 되고 몸이 가벼워지는 기분이 들어요.
모짜렐라치즈 루꼴라 샐러드 세트 ,건강한 식재료가 신선해서 맛있어요. 과일이나 견과류 추가해서 먹으니 건강이 배가 되고 몸이 가벼워지는 기분이 들어요. 치즈가 고소해요.
코코넛 쉬림프 샐러드 세트 ,건강한 식재료가 신선해서 맛있어요. 과일이나 견과류 추가해서 먹으니 건강이 배가 되고 몸이 가벼워지는 기분이 들어요.
연자육 닭살 콥샐러드 세트 ,건강한 식재료가 신선해서 맛있어요. 과일이나 견과류 추가해서 먹으니 건강이 배가 되고 몸이 가벼워지는 기분이 들어요.
